"hand_breadth","hand_circumference","hand_length","Gender","Weight","Height"
"77","190","178","Male","57.15","162.56"
"85","207","184","Male","72.57","175.26"
"84","202","193","Male","72.57","185.42"
"88","208","191","Male","78.93","172.72"
"89","216","197","Male","99.79","175.26"
"82","197","178","Male","66.22","170.18"
"86","206","180","Male","81.65","167.64"
"93","220","199","Male","106.59","187.96"
"89","217","190","Male","68.04","177.8"
"85","205","184","Male","71.67","162.56"
"90","211","196","Male","74.84","175.26"
"84","200","203","Male","63.5","172.72"
"84","200","180","Male","74.39","162.56"
"88","210","181","Male","74.84","175.26"
"91","217","195","Male","102.97","185.42"
"89","217","181","Male","92.99","175.26"
"90","216","190","Male","92.99","167.64"
"97","233","210","Male","97.07","175.26"
"92","222","200","Male","88.45","185.42"
"94","230","208","Male","97.98","182.88"
"88","206","188","Male","86.18","180.34"
"90","212","191","Male","73.94","177.8"
"85","204","201","Male","90.72","182.88"
"86","207","190","Male","77.11","180.34"
"81","195","191","Male","79.38","172.72"
"79","188","165","Male","62.6","157.48"
"89","214","192","Male","76.66","172.72"
"92","218","194","Male","88.45","182.88"
"81","194","194","Male","64.86","177.8"
"81","195","204","Male","72.57","170.18"
"89","215","197","Male","86.18","172.72"
"87","211","187","Male","86.18","172.72"
"90","212","192","Male","75.3","182.88"
"93","223","203","Male","68.04","185.42"
"88","213","202","Male","74.84","190.5"
"90","213","195","Male","77.11","182.88"
"81","189","175","Male","71.67","167.64"
"86","210","184","Male","78.93","170.18"
"85","207","186","Male","74.84","187.96"
"92","223","195","Male","97.52","180.34"
"94","227","204","Male","86.18","182.88"
"88","207","182","Male","72.57","175.26"
"86","211","191","Male","95.25","180.34"
"88","208","183","Male","81.65","182.88"
"94","218","201","Male","65.32","185.42"
"87","206","197","Male","97.52","190.5"
"91","218","192","Male","86.18","175.26"
"87","211","196","Male","89.36","175.26"
"83","203","204","Male","83.01","185.42"
"88","210","194","Male","83.91","170.18"
"88","212","192","Male","97.52","185.42"
"85","208","199","Male","81.65","182.88"
"80","193","177","Male","84.82","170.18"
"95","227","209","Male","113.4","185.42"
"92","223","191","Male","99.34","180.34"
"90","214","197","Male","102.06","185.42"
"85","210","182","Male","78.93","170.18"
"90","215","190","Male","86.18","177.8"
"98","233","208","Male","142.88","187.96"
"88","208","180","Male","77.11","167.64"
"84","197","174","Male","67.13","165.1"
"88","213","192","Male","77.11","175.26"
"83","197","185","Male","70.31","172.72"
"89","212","207","Male","113.4","190.5"
"89","215","205","Male","90.72","190.5"
"86","210","200","Male","72.57","177.8"
"87","210","196","Male","83.01","180.34"
"93","225","203","Male","100.7","185.42"
"91","221","197","Male","78.47","182.88"
"89","215","191","Male","98.88","175.26"
"85","202","185","Male","76.2","167.64"
"90","215","196","Male","91.17","182.88"
"88","208","208","Male","78.93","175.26"
"91","215","196","Male","83.91","175.26"
"95","227","206","Male","99.79","182.88"
"83","197","188","Male","73.48","170.18"
"90","215","204","Male","95.25","187.96"
"84","205","183","Male","95.25","182.88"
"91","217","222","Male","104.33","180.34"
"85","207","188","Male","80.74","175.26"
"88","209","197","Male","92.99","180.34"
"85","204","189","Male","90.72","177.8"
"92","220","205","Male","104.33","190.5"
"88","207","180","Male","88.9","167.64"
"84","202","190","Male","86.64","180.34"
"93","223","195","Male","117.48","190.5"
"96","226","190","Male","79.38","172.72"
"92","217","190","Male","88.45","180.34"
"92","220","211","Male","87.54","187.96"
"86","205","204","Male","80.74","193.04"
"91","220","192","Male","95.25","182.88"
"92","222","195","Male","107.05","182.88"
"88","213","188","Male","77.11","182.88"
"91","219","183","Male","92.99","175.26"
"100","233","210","Male","108.86","193.04"
"90","214","199","Male","88.9","182.88"
"86","212","201","Male","107.95","177.8"
"88","210","177","Male","97.07","177.8"
"83","201","188","Male","68.04","167.64"
"92","218","185","Male","88","180.34"
"100","233","218","Male","98.43","187.96"
"81","193","183","Male","97.52","175.26"
"95","223","200","Male","97.52","185.42"
"90","212","196","Male","112.49","180.34"
"90","215","187","Male","88.45","172.72"
"85","201","183","Male","95.25","172.72"
"83","204","184","Male","95.25","182.88"
"80","193","179","Male","72.12","165.1"
"94","223","207","Male","103.42","182.88"
"84","202","185","Male","76.66","172.72"
"93","223","222","Male","108.86","195.58"
"84","200","185","Male","81.65","175.26"
"93","224","194","Male","95.25","180.34"
"82","195","177","Male","72.57","172.72"
"87","205","195","Male","74.84","175.26"
"90","211","196","Male","83.91","185.42"
"88","207","185","Male","86.18","170.18"
"91","222","198","Male","97.52","182.88"
"93","216","197","Male","83.91","180.34"
"90","211","196","Male","81.65","175.26"
"88","210","187","Male","74.84","172.72"
"85","203","182","Male","90.72","167.64"
"82","198","193","Male","74.84","175.26"
"93","217","207","Male","72.57","190.5"
"91","213","185","Male","72.57","172.72"
"93","222","196","Male","75.75","177.8"
"93","216","204","Male","113.4","195.58"
"83","201","198","Male","83.91","187.96"
"94","220","203","Male","90.72","190.5"
"85","206","186","Male","67.13","172.72"
"87","210","185","Male","85.28","165.1"
"91","215","204","Male","83.91","187.96"
"97","233","195","Male","99.79","180.34"
"90","220","206","Male","103.42","177.8"
"81","190","183","Male","73.03","172.72"
"87","210","189","Male","70.76","180.34"
"83","194","194","Male","68.95","172.72"
"86","211","189","Male","79.38","185.42"
"83","205","188","Male","90.72","172.72"
"88","210","201","Male","84.82","180.34"
"90","213","200","Male","99.79","195.58"
"86","207","195","Male","77.11","175.26"
"88","215","190","Male","83.01","177.8"
"92","225","193","Male","84.82","175.26"
"80","202","175","Male","70.76","172.72"
"95","227","183","Male","104.33","172.72"
"82","206","195","Male","94.35","182.88"
"90","217","195","Male","108.86","193.04"
"97","228","193","Male","88.9","177.8"
"91","220","184","Male","83.91","172.72"
"88","210","208","Male","83.46","175.26"
"86","212","187","Male","86.18","175.26"
"83","203","190","Male","69.4","172.72"
"86","206","197","Male","68.04","172.72"
"87","210","200","Male","93.89","177.8"
"78","188","172","Male","49.9","157.48"
"91","218","196","Male","115.67","190.5"
"87","210","188","Male","74.84","177.8"
"93","221","203","Male","109.77","182.88"
"78","187","165","Male","54.88","167.64"
"86","203","183","Male","84.37","162.56"
"82","201","190","Male","88.45","175.26"
"95","233","205","Male","106.59","185.42"
"86","207","200","Male","79.38","175.26"
"98","227","217","Male","108.86","182.88"
"86","212","182","Male","115.21","175.26"
"81","200","181","Male","88.45","170.18"
"82","202","185","Male","77.11","177.8"
"87","206","195","Male","83.46","180.34"
"88","206","201","Male","81.65","177.8"
"84","202","179","Male","83.91","165.1"
"92","220","187","Male","95.25","175.26"
"88","213","193","Male","65.77","167.64"
"91","220","201","Male","114.31","182.88"
"85","202","187","Male","89.81","175.26"
"86","208","186","Male","70.31","162.56"
"94","225","199","Male","97.52","220.98"
"90","221","194","Male","84.82","182.88"
"84","200","178","Male","77.56","175.26"
"85","213","195","Male","81.65","187.96"
"89","213","204","Male","65.77","180.34"
"93","220","187","Male","106.59","180.34"
"90","222","200","Male","88.45","167.64"
"88","210","187","Male","96.16","177.8"
"89","216","204","Male","88.45","182.88"
"92","218","197","Male","108.41","187.96"
"80","193","183","Male","80.74","165.1"
"87","213","193","Male","81.65","167.64"
"90","214","204","Male","88.45","175.26"
"78","190","176","Male","58.97","162.56"
"88","210","197","Male","115.67","185.42"
"84","204","194","Male","84.82","177.8"
"88","212","200","Male","92.99","180.34"
"83","201","184","Male","79.38","175.26"
"84","203","180","Male","54.88","170.18"
"78","193","184","Male","53.52","170.18"
"86","210","183","Male","90.72","167.64"
"95","230","202","Male","85.73","172.72"
"96","230","200","Male","104.33","177.8"
"84","201","190","Male","68.04","172.72"
"83","200","201","Male","73.48","175.26"
"91","215","199","Male","90.72","182.88"
"96","233","205","Male","90.72","182.88"
"88","215","188","Male","71.67","167.64"
"93","217","192","Male","111.13","177.8"
"83","197","194","Male","104.33","180.34"
"83","201","184","Male","63.5","167.64"
"88","210","210","Male","97.52","185.42"
"95","227","204","Male","102.51","190.5"
"86","207","189","Male","86.18","182.88"
"98","237","220","Male","115.67","190.5"
"83","200","190","Male","92.99","175.26"
"87","206","194","Male","65.77","177.8"
"86","207","195","Male","71.21","165.1"
"87","203","187","Male","101.15","177.8"
"87","207","190","Male","79.38","160.02"
"95","226","195","Male","111.13","177.8"
"89","213","200","Male","83.91","175.26"
"80","194","180","Male","86.64","172.72"
"92","218","225","Male","81.65","195.58"
"88","210","199","Male","78.93","177.8"
"89","220","187","Male","107.95","185.42"
"88","213","198","Male","97.52","182.88"
"86","203","181","Male","78.02","167.64"
"88","212","196","Male","99.79","172.72"
"87","202","193","Male","63.5","177.8"
"84","204","190","Male","65.77","167.64"
"94","222","195","Male","90.72","167.64"
"84","206","180","Male","81.65","165.1"
"95","227","209","Male","87.09","190.5"
"88","213","186","Male","83.91","167.64"
"84","197","185","Male","70.31","180.34"
"88","206","184","Male","83.91","175.26"
"92","210","204","Male","93.44","187.96"
"95","232","200","Male","96.16","175.26"
"86","208","193","Male","86.18","180.34"
"88","211","190","Male","106.59","175.26"
"82","198","186","Male","73.94","170.18"
"80","189","197","Male","72.57","172.72"
"88","217","201","Male","87.09","180.34"
"80","187","187","Male","46.72","162.56"
"85","206","178","Male","79.38","167.64"
"92","220","200","Male","98.88","182.88"
"88","212","193","Male","113.4","182.88"
"90","210","195","Male","82.1","180.34"
"84","202","200","Male","112.49","180.34"
"93","222","221","Male","91.17","198.12"
"90","220","207","Male","94.8","180.34"
"82","197","194","Male","85.73","180.34"
"86","208","197","Male","85.28","175.26"
"88","214","210","Male","94.35","187.96"
"87","208","190","Male","92.08","180.34"
"80","194","175","Male","74.39","165.1"
"87","211","183","Male","84.82","172.72"
"86","211","177","Male","73.94","170.18"
"89","215","206","Male","83.91","180.34"
"89","216","197","Male","97.52","175.26"
"85","206","204","Male","74.84","182.88"
"85","208","197","Male","65.77","180.34"
"83","198","197","Male","68.04","175.26"
"84","195","178","Male","73.94","175.26"
"78","193","199","Male","67.59","180.34"
"83","195","174","Male","80.74","167.64"
"91","218","208","Male","86.18","187.96"
"83","202","200","Male","79.38","182.88"
"88","213","184","Male","81.19","172.72"
"84","197","194","Male","76.66","175.26"
"87","203","197","Male","85.28","170.18"
"90","214","197","Male","90.72","185.42"
"82","200","197","Male","82.55","198.12"
"85","205","189","Male","84.82","175.26"
"93","225","212","Male","115.67","193.04"
"85","204","184","Male","84.37","167.64"
"84","204","187","Male","95.25","177.8"
"93","216","203","Male","104.33","187.96"
"88","210","197","Male","86.64","177.8"
"81","190","174","Male","75.75","167.64"
"81","197","186","Male","81.65","167.64"
"85","205","198","Male","97.52","182.88"
"81","191","194","Male","74.84","190.5"
"86","207","199","Male","80.29","185.42"
"85","200","188","Male","72.57","172.72"
"91","218","204","Male","72.57","177.8"
"85","200","181","Male","74.84","170.18"
"90","212","190","Male","85.73","177.8"
"87","207","194","Male","69.85","167.64"
"91","213","195","Male","81.65","177.8"
"90","216","214","Male","99.34","195.58"
"87","208","196","Male","87.54","180.34"
"90","217","183","Male","72.57","162.56"
"87","203","191","Male","73.48","185.42"
"91","214","202","Male","72.12","182.88"
"93","216","190","Male","128.37","182.88"
"94","222","195","Male","95.25","185.42"
"92","222","188","Male","102.06","167.64"
"90","212","195","Male","81.65","175.26"
"88","214","191","Male","83.01","172.72"
"84","200","197","Male","85.28","175.26"
"81","197","196","Male","76.2","180.34"
"85","201","187","Male","73.03","172.72"
"86","206","197","Male","72.57","177.8"
"92","222","205","Male","86.18","170.18"
"83","198","176","Male","54.43","160.02"
"82","197","177","Male","74.84","172.72"
"88","218","196","Male","93.89","185.42"
"90","218","181","Male","92.99","165.1"
"90","216","184","Male","92.08","172.72"
"88","217","192","Male","97.52","167.64"
"83","203","181","Male","68.04","167.64"
"101","235","204","Male","97.52","187.96"
"86","216","205","Male","108.86","190.5"
"94","224","198","Male","90.72","167.64"
"82","191","182","Male","77.11","182.88"
"90","220","207","Male","124.74","190.5"
"90","215","200","Male","88.45","180.34"
"92","216","210","Male","69.4","187.96"
"84","201","184","Male","73.94","175.26"
"88","207","191","Male","79.38","170.18"
"84","199","190","Male","71.21","175.26"
"93","220","193","Male","99.79","185.42"
"89","218","203","Male","83.91","177.8"
"100","231","221","Male","117.93","187.96"
"90","210","197","Male","83.91","175.26"
"83","198","187","Male","70.31","172.72"
"91","215","199","Male","74.84","180.34"
"92","220","191","Male","108.41","180.34"
"93","217","199","Male","102.06","190.5"
"89","205","184","Male","65.77","167.64"
"90","212","187","Male","93.44","167.64"
"88","218","191","Male","95.71","177.8"
"92","222","187","Male","70.31","170.18"
"86","204","176","Male","79.38","167.64"
"90","209","186","Male","76.66","170.18"
"92","217","194","Male","102.06","175.26"
"94","225","194","Male","102.06","177.8"
"91","214","214","Male","93.44","182.88"
"94","217","194","Male","74.84","170.18"
"84","212","186","Male","78.02","167.64"
"87","210","188","Male","90.72","182.88"
"90","217","194","Male","80.74","198.12"
"87","211","191","Male","81.65","182.88"
"84","200","194","Male","63.5","177.8"
"85","204","177","Male","75.75","170.18"
"86","205","196","Male","79.38","175.26"
"82","196","174","Male","81.65","165.1"
"82","198","176","Male","72.57","167.64"
"90","215","201","Male","85.28","165.1"
"90","214","205","Male","112.49","185.42"
"86","207","185","Male","74.84","175.26"
"92","223","203","Male","90.72","187.96"
"91","217","199","Male","81.65","175.26"
"86","205","200","Male","83.91","190.5"
"92","222","194","Male","97.52","177.8"
"92","217","211","Male","96.62","185.42"
"92","220","202","Male","92.08","180.34"
"81","195","180","Male","58.97","160.02"
"84","197","185","Male","79.38","182.88"
"89","213","190","Male","83.91","193.04"
"90","214","186","Male","83.91","167.64"
"82","203","185","Male","78.02","170.18"
"88","212","191","Male","86.18","170.18"
"90","211","191","Male","85.73","167.64"
"94","223","186","Male","102.06","180.34"
"85","200","181","Male","80.29","167.64"
"90","216","203","Male","104.33","190.5"
"88","216","184","Male","93.89","172.72"
"89","213","205","Male","66.68","170.18"
"88","216","186","Male","83.91","175.26"
"82","205","189","Male","81.65","177.8"
"81","200","194","Male","71.67","162.56"
"82","200","170","Male","86.18","170.18"
"88","214","204","Male","80.74","182.88"
"82","196","198","Male","74.84","172.72"
"80","193","186","Male","84.82","177.8"
"84","201","189","Male","61.23","180.34"
"85","202","186","Male","79.38","187.96"
"90","218","197","Male","72.57","182.88"
"90","219","206","Male","91.63","185.42"
"86","204","204","Male","86.18","187.96"
"96","229","203","Male","86.18","175.26"
"90","216","196","Male","69.4","170.18"
"90","216","193","Male","110.68","182.88"
"83","202","190","Male","65.77","172.72"
"83","197","188","Male","72.57","175.26"
"88","208","189","Male","72.57","175.26"
"89","210","197","Male","83.91","180.34"
"94","224","212","Male","95.25","190.5"
"94","224","197","Male","70.31","177.8"
"102","241","210","Male","102.06","193.04"
"82","204","197","Male","77.11","175.26"
"92","217","204","Male","81.65","180.34"
"91","213","200","Male","79.38","182.88"
"84","207","197","Male","80.74","182.88"
"88","209","198","Male","81.65","187.96"
"89","217","203","Male","65.77","177.8"
"88","212","203","Male","93.44","190.5"
"86","210","188","Male","90.72","167.64"
"85","207","205","Male","113.4","187.96"
"81","193","172","Male","76.2","160.02"
"89","212","196","Male","88.45","177.8"
"97","236","193","Male","92.99","185.42"
"81","193","178","Male","77.11","175.26"
"85","203","188","Male","66.68","177.8"
"88","210","209","Male","79.83","180.34"
"82","197","192","Male","68.04","170.18"
"88","213","204","Male","88.45","185.42"
"89","211","197","Male","79.38","177.8"
"91","217","204","Male","77.11","172.72"
"85","207","197","Male","93.89","180.34"
"92","224","188","Male","79.38","175.26"
"86","211","198","Male","86.18","177.8"
"93","222","194","Male","88.45","177.8"
"87","206","190","Male","120.2","180.34"
"90","216","192","Male","74.39","180.34"
"93","222","193","Male","80.74","180.34"
"83","200","192","Male","74.84","177.8"
"84","202","190","Male","77.11","172.72"
"88","209","190","Male","63.5","182.88"
"85","198","188","Male","72.57","180.34"
"88","207","194","Male","82.1","172.72"
"87","207","190","Male","79.38","177.8"
"83","197","171","Male","67.13","162.56"
"84","200","185","Male","78.02","165.1"
"91","218","210","Male","88.45","185.42"
"84","208","186","Male","90.72","175.26"
"84","203","168","Male","73.48","170.18"
"93","222","200","Male","83.91","187.96"
"89","212","186","Male","77.11","152.4"
"94","222","205","Male","102.51","195.58"
"87","213","190","Male","99.79","180.34"
"87","207","173","Male","68.04","167.64"
"91","217","187","Male","95.25","175.26"
"86","206","180","Male","83.46","167.64"
"93","223","195","Male","85.28","167.64"
"88","213","198","Male","97.52","185.42"
"80","188","197","Male","68.04","185.42"
"88","202","189","Male","65.77","170.18"
"88","207","179","Male","68.04","172.72"
"87","210","187","Male","90.72","172.72"
"84","203","175","Male","84.82","172.72"
"96","225","199","Male","114.76","187.96"
"85","199","187","Male","86.18","170.18"
"93","227","185","Male","88.9","180.34"
"95","220","207","Male","79.38","185.42"
"90","215","191","Male","79.83","175.26"
"87","207","187","Male","81.65","170.18"
"84","203","191","Male","77.11","172.72"
"86","205","200","Male","68.04","180.34"
"89","215","192","Male","88.45","177.8"
"85","205","191","Male","74.84","175.26"
"86","207","190","Male","65.77","177.8"
"88","214","192","Male","74.84","182.88"
"94","227","194","Male","97.07","177.8"
"87","207","178","Male","88.9","172.72"
"88","212","191","Male","88.45","177.8"
"91","217","187","Male","87.54","180.34"
"87","206","180","Male","86.18","170.18"
"90","220","192","Male","91.63","180.34"
"84","206","192","Male","90.72","175.26"
"87","209","194","Male","92.99","182.88"
"86","207","190","Male","70.31","172.72"
"84","201","171","Male","68.04","162.56"
"94","221","197","Male","78.93","172.72"
"96","226","196","Male","117.93","177.8"
"87","207","197","Male","97.52","185.42"
"85","198","185","Male","80.74","172.72"
"99","233","209","Male","95.25","182.88"
"88","213","197","Male","86.18","177.8"
"90","210","189","Male","77.56","180.34"
"85","202","193","Male","81.65","180.34"
"88","211","185","Male","101.6","175.26"
"88","205","189","Male","92.99","187.96"
"87","212","181","Male","88.45","175.26"
"93","221","194","Male","74.84","172.72"
"86","205","192","Male","86.64","172.72"
"88","212","202","Male","86.18","190.5"
"91","213","188","Male","97.52","182.88"
"82","207","187","Male","77.11","175.26"
"91","216","194","Male","99.79","180.34"
"91","214","203","Male","84.37","185.42"
"84","201","197","Male","88.45","180.34"
"93","223","186","Male","102.06","175.26"
"90","217","190","Male","86.18","172.72"
"89","215","177","Male","72.57","172.72"
"99","236","203","Male","88","182.88"
"88","212","204","Male","90.72","193.04"
"93","215","189","Male","92.99","177.8"
"87","203","176","Male","77.11","165.1"
"93","217","191","Male","68.04","177.8"
"84","201","186","Male","88.45","180.34"
"92","218","198","Male","88","180.34"
"94","220","198","Male","88.45","182.88"
"91","221","189","Male","81.65","180.34"
"84","200","177","Male","61.23","167.64"
"88","214","209","Male","98.88","193.04"
"86","206","193","Male","70.31","172.72"
"92","217","208","Male","86.18","193.04"
"91","212","198","Male","75.3","180.34"
"89","214","194","Male","81.65","177.8"
"88","207","197","Male","88.45","180.34"
"84","198","191","Male","90.72","175.26"
"91","215","183","Male","92.99","175.26"
"87","212","188","Male","96.62","177.8"
"87","203","194","Male","67.13","175.26"
"90","213","192","Male","81.65","182.88"
"88","206","189","Male","77.11","182.88"
"91","212","179","Male","95.25","170.18"
"83","202","195","Male","83.91","175.26"
"92","215","186","Male","106.59","165.1"
"82","198","191","Male","83.91","172.72"
"92","216","211","Male","79.38","182.88"
"84","200","188","Male","61.23","175.26"
"84","197","185","Male","68.04","172.72"
"90","217","200","Male","86.18","177.8"
"94","222","192","Male","92.99","182.88"
"91","215","184","Male","83.91","177.8"
"86","203","188","Male","74.84","180.34"
"90","222","203","Male","108.86","190.5"
"89","212","187","Male","99.79","175.26"
"86","204","182","Male","88.45","177.8"
"82","202","176","Male","88","170.18"
"87","212","190","Male","88.45","175.26"
"94","224","202","Male","99.79","187.96"
"87","210","210","Male","97.52","177.8"
"87","205","202","Male","81.65","175.26"
"85","201","199","Male","95.25","175.26"
"84","201","180","Male","81.65","175.26"
"90","216","197","Male","65.77","182.88"
"88","213","190","Male","87.54","175.26"
"90","217","196","Male","88.45","180.34"
"90","212","206","Male","111.13","177.8"
"84","203","187","Male","74.84","180.34"
"93","220","206","Male","95.25","185.42"
"86","207","196","Male","70.31","170.18"
"85","206","198","Male","97.52","182.88"
"90","215","190","Male","90.72","177.8"
"100","234","216","Male","99.79","185.42"
"92","218","192","Male","79.38","182.88"
"91","215","195","Male","93.89","172.72"
"94","226","201","Male","93.89","180.34"
"95","224","199","Male","95.25","175.26"
"92","212","209","Male","63.96","185.42"
"92","227","190","Male","113.4","182.88"
"84","208","193","Male","76.2","172.72"
"95","223","207","Male","68.04","180.34"
"84","201","194","Male","77.11","175.26"
"98","229","188","Male","105.23","175.26"
"90","217","203","Male","104.78","182.88"
"90","215","207","Male","72.57","180.34"
"89","215","200","Male","93.89","185.42"
"87","208","200","Male","88.9","185.42"
"89","210","179","Male","77.11","167.64"
"87","210","186","Male","91.17","162.56"
"87","205","189","Male","78.47","175.26"
"84","203","188","Male","83.91","167.64"
"87","210","198","Male","86.18","167.64"
"91","214","187","Male","58.97","165.1"
"94","225","185","Male","92.99","172.72"
"92","220","198","Male","81.65","180.34"
"81","196","181","Male","70.31","165.1"
"91","209","205","Male","71.67","170.18"
"89","209","193","Male","80.29","180.34"
"93","220","196","Male","68.04","185.42"
"86","197","186","Male","84.37","172.72"
"88","213","186","Male","95.25","175.26"
"91","214","187","Male","96.16","172.72"
"88","216","199","Male","104.33","182.88"
"91","216","194","Male","79.38","175.26"
"91","213","181","Male","81.65","170.18"
"100","234","211","Male","97.52","182.88"
"89","218","204","Male","108.86","177.8"
"88","214","196","Male","90.72","175.26"
"87","212","196","Male","80.29","175.26"
"87","208","190","Male","84.37","180.34"
"93","220","204","Male","83.91","187.96"
"85","213","191","Male","90.72","172.72"
"90","225","215","Male","108.86","193.04"
"94","225","190","Male","87.09","167.64"
"98","229","197","Male","88.45","180.34"
"83","195","178","Male","86.18","170.18"
"84","201","194","Male","72.57","175.26"
"90","218","188","Male","97.52","177.8"
"92","220","186","Male","92.99","167.64"
"91","221","187","Male","86.18","175.26"
"87","208","199","Male","83.91","182.88"
"84","205","194","Male","84.82","185.42"
"84","204","188","Male","86.18","167.64"
"94","222","213","Male","108.86","193.04"
"93","217","203","Male","82.1","182.88"
"86","205","174","Male","88.9","170.18"
"90","223","192","Male","92.99","172.72"
"84","205","185","Male","88.45","172.72"
"87","207","193","Male","99.79","175.26"
"85","208","182","Male","82.1","177.8"
"87","208","175","Male","77.11","167.64"
"90","212","190","Male","88.45","177.8"
"92","218","194","Male","88.45","177.8"
"88","212","190","Male","102.51","180.34"
"83","193","177","Male","62.14","162.56"
"90","217","186","Male","95.25","175.26"
"85","207","194","Male","80.29","180.34"
"84","201","202","Male","71.67","177.8"
"91","214","188","Male","70.31","187.96"
"94","232","204","Male","117.93","182.88"
"90","211","180","Male","88","170.18"
"89","216","193","Male","74.84","180.34"
"88","215","195","Male","79.38","175.26"
"84","206","180","Male","79.38","177.8"
"86","208","191","Male","79.38","172.72"
"94","218","202","Male","75.75","218.44"
"87","210","193","Male","85.73","175.26"
"87","212","205","Male","94.35","195.58"
"95","217","199","Male","92.99","180.34"
"89","214","190","Male","83.91","182.88"
"87","212","197","Male","90.72","190.5"
"91","220","213","Male","84.82","187.96"
"90","210","197","Male","93.89","182.88"
"93","218","194","Male","75.75","180.34"
"87","209","187","Male","64.41","180.34"
"84","197","184","Male","70.31","172.72"
"98","231","215","Male","81.65","185.42"
"89","218","188","Male","77.56","177.8"
"92","217","197","Male","124.28","175.26"
"83","196","180","Male","96.62","180.34"
"85","200","172","Male","70.31","162.56"
"82","192","181","Male","58.06","167.64"
"89","215","197","Male","93.44","180.34"
"94","222","214","Male","70.31","180.34"
"87","212","177","Male","92.99","172.72"
"87","209","193","Male","79.38","175.26"
"95","223","202","Male","91.17","185.42"
"85","206","180","Male","58.97","165.1"
"84","200","186","Male","72.57","167.64"
"87","204","191","Male","95.25","180.34"
"83","204","200","Male","70.31","187.96"
"88","208","204","Male","74.84","175.26"
"89","212","185","Male","92.53","175.26"
"93","217","204","Male","77.11","185.42"
"92","219","214","Male","88.45","195.58"
"90","214","194","Male","68.04","193.04"
"94","222","200","Male","74.84","190.5"
"90","213","194","Male","77.11","180.34"
"94","225","211","Male","106.59","182.88"
"81","192","185","Male","68.04","170.18"
"94","222","191","Male","99.79","203.2"
"83","200","177","Male","79.38","172.72"
"94","226","206","Male","90.72","185.42"
"84","202","184","Male","67.59","172.72"
"88","213","198","Male","83.91","180.34"
"85","199","191","Male","68.95","172.72"
"87","208","194","Male","95.25","175.26"
"84","211","188","Male","86.18","162.56"
"92","215","191","Male","83.91","180.34"
"94","223","192","Male","80.74","172.72"
"98","231","212","Male","99.79","198.12"
"88","210","208","Male","70.76","172.72"
"87","208","189","Male","63.5","175.26"
"88","209","186","Male","88.45","172.72"
"89","211","185","Male","81.65","172.72"
"84","205","167","Male","81.19","170.18"
"89","213","194","Male","78.93","177.8"
"85","200","180","Male","77.11","167.64"
"83","196","200","Male","68.04","180.34"
"92","218","203","Male","113.4","193.04"
"90","209","195","Male","79.38","175.26"
"84","197","198","Male","74.84","175.26"
"93","222","194","Male","92.99","175.26"
"88","206","182","Male","83.91","177.8"
"88","212","200","Male","86.18","172.72"
"93","224","196","Male","95.25","175.26"
"93","223","190","Male","101.6","177.8"
"91","214","193","Male","83.91","172.72"
"93","225","192","Male","90.72","177.8"
"90","214","195","Male","99.79","177.8"
